17-10-2022 21:54:53; Запуск; Вход в программу
17-10-2022 21:58:06; Ошибка ввода; Неверный формат ввода меню
17-10-2022 21:58:09; Выход; по команде пользователя
17-10-2022 21:58:26; Запуск; Вход в программу
17-10-2022 21:58:28; Запуск; Калькулятор
17-10-2022 21:58:30; Выбор; Вещественные числа
17-10-2022 21:58:33; Ввод данных; (5.0, 0.0)
17-10-2022 21:58:35; Ошибка; Деление на 0
17-10-2022 21:58:37; Выбор; Вещественные числа
17-10-2022 21:58:41; Ввод данных; (5.6, 4.0)
17-10-2022 21:58:42; Целочисленное деление; 1.0
17-10-2022 22:09:22; Запуск; Вход в программу
17-10-2022 22:09:32; Запуск; Вход в программу
17-10-2022 22:09:35; Запуск; Калькулятор
17-10-2022 22:09:37; Выбор; Вещественные числа
17-10-2022 22:09:38; Ввод данных; (5.0, 0.0)
17-10-2022 22:09:41; Ошибка; Деление на 0
17-10-2022 22:09:48; Выбор; Вещественные числа
17-10-2022 22:09:53; Ввод данных; (4.0, 1.0)
17-10-2022 22:09:54; Целочисленное деление; 4.0
17-10-2022 22:10:15; Запуск; Вход в программу
17-10-2022 22:10:20; Запуск; Вход в программу
17-10-2022 22:10:22; Запуск; Калькулятор
17-10-2022 22:10:24; Выбор; Вещественные числа
17-10-2022 22:10:27; Ввод данных; (5.0, 0.0)
17-10-2022 22:10:28; Ошибка; Деление на 0
17-10-2022 22:10:29; Выбор; Целые числа
17-10-2022 22:10:34; Ввод данных; (5, 0)
17-10-2022 22:10:35; Ошибка; Деление на 0
17-10-2022 22:10:38; Выбор; Целые числа
17-10-2022 22:10:40; Ввод данных; (5, 2)
17-10-2022 22:10:41; Частное; 2.5
17-10-2022 22:11:31; Запуск; Вход в программу
17-10-2022 22:11:36; Запуск; Вход в программу
17-10-2022 22:11:38; Запуск; Калькулятор
17-10-2022 22:11:39; Выбор; Целые числа
17-10-2022 22:11:41; Ввод данных; (4, 0)
17-10-2022 22:11:42; Ошибка; Деление на 0
17-10-2022 22:11:43; Выбор; Целые числа
17-10-2022 22:11:46; Ввод данных; (4, 2)
17-10-2022 22:11:47; Частное; 2.0
17-10-2022 22:12:34; Ошибка ввода; Неверный формат ввода меню
17-10-2022 22:12:40; Выход; по команде пользователя
17-10-2022 22:12:43; Запуск; Вход в программу
17-10-2022 22:12:45; Запуск; Калькулятор
17-10-2022 22:12:48; Выбор; Целые числа
17-10-2022 22:12:51; Ввод данных; (4, 0)
17-10-2022 22:13:30; Запуск; Вход в программу
17-10-2022 22:13:34; Запуск; Вход в программу
17-10-2022 22:13:36; Запуск; Калькулятор
17-10-2022 22:13:39; Выбор; Вещественные числа
17-10-2022 22:13:41; Ввод данных; (5.0, 0.0)
17-10-2022 22:13:45; Ошибка; Деление на 0
17-10-2022 22:13:49; Выбор; Целые числа
17-10-2022 22:13:52; Ввод данных; (4, 3)
17-10-2022 22:13:53; Частное; 1.3333333333333333
17-10-2022 22:15:33; Запуск; Вход в программу
17-10-2022 22:15:36; Запуск; Вход в программу
17-10-2022 22:15:39; Запуск; Калькулятор
17-10-2022 22:15:40; Выбор; Целые числа
17-10-2022 22:15:43; Ввод данных; (4, 0)
17-10-2022 22:15:45; Ошибка; Деление на 0
17-10-2022 22:15:47; Выбор; Целые числа
17-10-2022 22:15:51; Ввод данных; (4, 2)
17-10-2022 22:15:52; Частное; 2.0
17-10-2022 22:16:46; Запуск; Вход в программу
17-10-2022 22:16:48; Запуск; Калькулятор
17-10-2022 22:16:49; Выбор; Целые числа
17-10-2022 22:16:50; Ввод данных; (4, 0)
17-10-2022 22:16:52; Ошибка; Деление на 0
17-10-2022 22:16:53; Выбор; Целые числа
17-10-2022 22:16:56; Ввод данных; (4, 0)
17-10-2022 22:16:58; Сумма; 4
17-10-2022 22:17:03; Запуск; Калькулятор
17-10-2022 22:17:05; Выбор; Целые числа
17-10-2022 22:17:08; Ввод данных; (4, 2)
17-10-2022 22:17:10; Частное; 2.0
17-10-2022 22:17:25; Запуск; Калькулятор
17-10-2022 22:17:25; Ошибка ввода; Неверный пункт меню
17-10-2022 22:17:27; Выбор; Целые числа
17-10-2022 22:17:28; Ввод данных; (4, 0)
17-10-2022 22:17:30; Ошибка; Деление на 0
17-10-2022 22:17:32; Выбор; Целые числа
17-10-2022 22:17:35; Ввод данных; (1, 0)
17-10-2022 22:17:37; Ошибка; Деление на 0
17-10-2022 22:17:40; Выбор; Целые числа
17-10-2022 22:17:41; Ввод данных; (4, 1)
17-10-2022 22:17:42; Частное; 4.0
17-10-2022 22:19:21; Запуск; Вход в программу
17-10-2022 22:19:23; Запуск; Вывод логов на экран
17-10-2022 22:19:46; Выход; по команде пользователя
17-10-2022 22:20:10; Запуск; Вход в программу
17-10-2022 22:20:12; Запуск; Калькулятор
17-10-2022 22:20:13; Выбор; Целые числа
17-10-2022 22:20:15; Ввод данных; (2, 5)
17-10-2022 22:20:16; Ошибка ввода; Неверный пункт меню
17-10-2022 22:20:18; Остаток от деления; 2
17-10-2022 22:20:24; Запуск; Калькулятор
17-10-2022 22:20:26; Выбор; Вещественные числа
17-10-2022 22:20:29; Ввод данных; (1.0, 2.0)
17-10-2022 22:20:31; Целочисленное деление; 0.0
17-10-2022 22:20:37; Запуск; Калькулятор
17-10-2022 22:20:39; Выбор; Комплексные числа
17-10-2022 22:20:47; Ввод данных; ((1+2j), (3+12j))
17-10-2022 22:20:52; Ошибка ввода; Неверный пункт меню
17-10-2022 22:20:54; Частное; (0.17647058823529413-0.0392156862745098j)
17-10-2022 22:21:04; Запуск; Калькулятор
17-10-2022 22:21:05; Выбор; Вещественные числа
17-10-2022 22:21:08; Ввод данных; (1.0, 5.0)
17-10-2022 22:21:10; Частное; 0.2
17-10-2022 22:21:15; Запуск; Калькулятор
17-10-2022 22:21:17; Выбор; Целые числа
17-10-2022 22:21:19; Ввод данных; (2, 4)
17-10-2022 22:21:21; Частное; 0.5
17-10-2022 22:21:25; Запуск; Калькулятор
17-10-2022 22:21:27; Выбор; Целые числа
17-10-2022 22:21:29; Ввод данных; (4, 0)
17-10-2022 22:21:33; Ошибка; Деление на 0
17-10-2022 22:21:39; Выбор; Целые числа
17-10-2022 22:21:42; Ввод данных; (2, 3)
17-10-2022 22:21:43; Целочисленное деление; 0
17-10-2022 22:22:42; Запуск; Вход в программу
17-10-2022 22:22:44; Запуск; Калькулятор
17-10-2022 22:22:46; Выбор; Целые числа
17-10-2022 22:22:49; Ввод данных; (2, 0)
17-10-2022 22:22:51; Ошибка; Деление на 0
17-10-2022 22:22:53; Выбор; Целые числа
17-10-2022 22:22:58; Ввод данных; (2, 0)
17-10-2022 22:23:00; Ошибка; Деление на 0
17-10-2022 22:23:02; Выбор; Целые числа
17-10-2022 22:23:04; Ввод данных; (2, 1)
17-10-2022 22:23:05; Частное; 2.0
